,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
406,D1-4,D1,4,TRUE,JCM14889-1s-431,0.865606179,221,204,232,7.16562075,2,406,3.716800172
407,D1-4,D1,4,TRUE,JCM14889-1s-432,1.106259865,220,206,231,8.931086153,2,407,4.304633546
408,D1-4,D1,4,TRUE,JCM14889-1s-433,1.110192159,220,206,232,9.170594909,2,408,4.381253073
409,D1-4,D1,4,TRUE,JCM14889-1s-434,1.060345431,221,209,232,8.203819887,2,409,4.067654691
410,D1-4,D1,4,TRUE,JCM14889-1s-435,1.210214341,220,206,231,9.973865273,2,410,4.633498196
411,D1-4,D1,4,TRUE,JCM14889-1s-436,0.835744154,220,206,230,7.008592933,2,411,3.66229978
412,D1-4,D1,4,TRUE,JCM14889-1s-437,0.74843875,220,206,229,6.50255414,2,412,3.483822218
1,D1-4,D1,4,FALSE,JCM14889-1s-145,0,0,0,0,0,2,1,0
2,D1-4,D1,4,FALSE,JCM14889-1s-198,0,0,0,0,0,2,2,0
3,D1-4,D1,4,FALSE,JCM14889-1s-208,0,0,0,0,0,2,3,0
4,D1-4,D1,4,FALSE,JCM14889-1s-322,0,0,0,0,0,2,4,0
149,D1-4,D1,4,TRUE,JCM14889-1s-155,0,0,0,0,0,2,149,0
230,D1-4,D1,4,TRUE,JCM14889-1s-246,0,0,0,0,0,2,230,0
256,D1-4,D1,4,TRUE,JCM14889-1s-273,0,0,0,0,0,2,256,0
312,D1-4,D1,4,TRUE,JCM14889-1s-334,0,0,0,0,0,2,312,0
318,D1-4,D1,4,TRUE,JCM14889-1s-340,0,0,0,0,0,2,318,0
352,D1-4,D1,4,TRUE,JCM14889-1s-377,0,0,0,0,0,2,352,0
