id,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,content
370,d1-1,d1,1,TRUE,JCM14889-1-1s-170,0.365050238,218,203,228,3.513188496,2,370,0.983692779
371,d1-1,d1,1,TRUE,JCM14889-1-1s-171,0.969237867,217,200,230,10.26526154,2,371,2.874273231
372,d1-1,d1,1,TRUE,JCM14889-1-1s-172,1.383300431,218,202,231,14.45529375,2,372,4.04748225
373,d1-1,d1,1,TRUE,JCM14889-1-1s-173,1.248534493,217,200,230,13.08631073,2,373,3.664167004
374,d1-1,d1,1,TRUE,JCM14889-1-1s-174,0.95104731,217,202,229,9.910233946,2,374,2.774865505
375,d1-1,d1,1,TRUE,JCM14889-1-1s-176,0.856927339,218,203,231,9.141223713,2,375,2.55954264
376,d1-1,d1,1,TRUE,JCM14889-1-1s-177,0.938237606,217,204,229,9.531522414,2,376,2.668826276
377,d1-1,d1,1,TRUE,JCM14889-1-1s-178,1.006353664,218,202,229,10.04136664,2,377,2.811582659
378,d1-1,d1,1,TRUE,JCM14889-1-1s-179,0.410678628,218,207,229,4.129207818,2,378,1.156178189
379,d1-1,d1,1,TRUE,JCM14889-1-1s-180,1.116429698,217,204,230,10.91151171,2,379,3.055223279
380,d1-1,d1,1,TRUE,JCM14889-1-1s-181,0.805568939,218,203,229,8.37073909,2,380,2.343806945
381,d1-1,d1,1,TRUE,JCM14889-1-1s-182,0.816311161,217,205,232,8.839178921,2,381,2.474970098
382,d1-1,d1,1,TRUE,JCM14889-1-1s-183,0.79400585,217,204,232,8.017587642,2,382,2.24492454
383,d1-1,d1,1,TRUE,JCM14889-1-1s-184,0.710738624,218,200,231,7.314283582,2,383,2.047999403
384,d1-1,d1,1,TRUE,JCM14889-1-1s-185,1.37474943,218,199,234,14.22746002,2,384,3.983688806
385,d1-1,d1,1,TRUE,JCM14889-1-1s-186,0.461625709,219,203,231,5.011816467,2,385,1.403308611
386,d1-1,d1,1,TRUE,JCM14889-1-1s-187,0.456094609,218,205,227,4.061059473,2,386,1.137096652
387,d1-1,d1,1,TRUE,JCM14889-1-1s-188,0.563738234,217,206,230,5.726390616,2,387,1.603389372
388,d1-1,d1,1,TRUE,JCM14889-1-1s-189,0.650402565,219,201,234,6.78269905,2,388,1.899155734
389,d1-1,d1,1,TRUE,JCM14889-1-1s-190,0.448170051,219,204,226,3.776326676,2,389,1.057371469
390,d1-1,d1,1,TRUE,JCM14889-1-1s-191,1.039955436,218,204,232,11.34127064,2,390,3.175555779
391,d1-1,d1,1,TRUE,JCM14889-1-1s-193,0.732331062,218,207,234,7.126301811,2,391,1.995364507
392,d1-1,d1,1,TRUE,JCM14889-1-1s-194,1.595459378,218,201,231,16.70352963,2,392,4.676988296
393,d1-1,d1,1,TRUE,JCM14889-1-1s-195,1.126798859,218,204,231,12.12682347,2,393,3.395510572
394,d1-1,d1,1,TRUE,JCM14889-1-1s-196,0.958445784,218,204,231,9.611394989,2,394,2.691190597
395,d1-1,d1,1,TRUE,JCM14889-1-1s-197,0.850801232,218,207,230,7.986002682,2,395,2.236080751
396,d1-1,d1,1,TRUE,JCM14889-1-1s-198,1.530917625,218,198,232,16.79511263,2,396,4.702631536
397,d1-1,d1,1,TRUE,JCM14889-1-1s-199,1.199055036,218,204,232,13.48529946,2,397,3.775883849
398,d1-1,d1,1,TRUE,JCM14889-1-1s-200,1.097754925,218,203,229,11.13975053,2,398,3.119130148
399,d1-1,d1,1,TRUE,JCM14889-1-1s-201,0.666414174,219,204,231,6.57545551,2,399,1.841127543
400,d1-1,d1,1,TRUE,JCM14889-1-1s-202,0.947831569,218,201,232,10.67784223,2,400,2.989795824
401,d1-1,d1,1,TRUE,JCM14889-1-1s-203,1.783593203,218,202,231,18.66464671,2,401,5.226101079
402,d1-1,d1,1,TRUE,JCM14889-1-1s-204,1.492242553,217,198,229,15.03158991,2,402,4.208845175
403,d1-1,d1,1,TRUE,JCM14889-1-1s-205,1.033810788,217,203,229,10.22654376,2,403,2.863432253
404,d1-1,d1,1,TRUE,JCM14889-1-1s-206,1.043411022,217,203,229,10.42571279,2,404,2.919199581
405,d1-1,d1,1,TRUE,JCM14889-1-1s-207,1.574061216,218,204,232,17.01677963,2,405,4.764698296
406,d1-1,d1,1,TRUE,JCM14889-1-1s-208,1.452277843,218,203,234,14.95972376,2,406,4.188722653
407,d1-1,d1,1,TRUE,JCM14889-1-1s-209,0.915392718,218,201,229,9.451844318,2,407,2.646516409
408,d1-1,d1,1,TRUE,JCM14889-1-1s-210,1.130249851,218,198,232,12.27052809,2,408,3.435747865
478,d1-2,d1,2,TRUE,JCM14889-2-1s-3,0.395911193,217,207,228,3.907080371,2,478,1.093982504
480,d1-2,d1,2,TRUE,JCM14889-2-1s-7,0.309205663,218,204,223,1.651888694,2,480,0.462528834
481,d1-2,d1,2,TRUE,JCM14889-2-1s-9,0.232373061,216,206,229,2.721365147,2,481,0.761982241
482,d1-2,d1,2,TRUE,JCM14889-2-1s-11,0.264636156,217,212,227,1.374215092,2,482,0.384780226
483,d1-2,d1,2,TRUE,JCM14889-2-1s-12,0.405173154,218,207,227,3.409101238,2,483,0.954548347
484,d1-2,d1,2,TRUE,JCM14889-2-1s-16,0.350122792,218,199,227,3.311337066,2,484,0.927174378
485,d1-2,d1,2,TRUE,JCM14889-2-1s-18,0.287180338,217,212,223,0.732126512,2,485,0.204995423
487,d1-2,d1,2,TRUE,JCM14889-2-1s-20,0.228357034,218,200,223,1.877333524,2,487,0.525653387
491,d1-2,d1,2,TRUE,JCM14889-2-1s-29,0.569577051,218,204,229,5.92321439,2,491,1.658500029
492,d1-2,d1,2,TRUE,JCM14889-2-1s-32,0.276952653,217,207,223,1.919714932,2,492,0.537520181
493,d1-2,d1,2,TRUE,JCM14889-2-1s-33,0.498960443,217,203,229,5.346116614,2,493,1.496912652
494,d1-2,d1,2,TRUE,JCM14889-2-1s-34,0.336144908,219,201,226,3.228897296,2,494,0.904091243
496,d1-2,d1,2,TRUE,JCM14889-2-1s-37,0.413812509,217,204,229,4.069429961,2,496,1.139440389
497,d1-2,d1,2,TRUE,JCM14889-2-1s-40,0.498238963,218,199,228,5.243220331,2,497,1.468101693
498,d1-2,d1,2,TRUE,JCM14889-2-1s-41,0.555696626,217,205,230,5.019431129,2,498,1.405440716
499,d1-2,d1,2,TRUE,JCM14889-2-1s-42,0.398765047,216,198,227,4.331609413,2,499,1.212850636
500,d1-2,d1,2,TRUE,JCM14889-2-1s-45,0.437273599,216,203,226,3.761250004,2,500,1.053150001
501,d1-2,d1,2,TRUE,JCM14889-2-1s-46,0.383373275,217,207,230,3.424557943,2,501,0.958876224
502,d1-2,d1,2,TRUE,JCM14889-2-1s-47,0.256955558,217,208,226,1.716845997,2,502,0.480716879
503,d1-2,d1,2,TRUE,JCM14889-2-1s-48,0.566685778,216,204,228,5.812177602,2,503,1.627409729
504,d1-2,d1,2,TRUE,JCM14889-2-1s-50,0.211376057,218,213,224,0.58846685,2,504,0.164770718
505,d1-2,d1,2,TRUE,JCM14889-2-1s-52,0.230251165,217,206,227,2.22840302,2,505,0.623952846
506,d1-2,d1,2,TRUE,JCM14889-2-1s-54,1.115767544,217,202,230,11.90627579,2,506,3.333757221
