,group,day,num,S,name,hight,peak,L,R,A,peaknumber,index,AA
275,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-247,1.258821574,222,209,233,10.58786639,2,275,4.821760501
276,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-249,1.441215367,220,204,232,14.16788001,2,276,5.855130512
277,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-250,0.788128727,220,210,229,6.867778794,2,277,3.613079622
279,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-253,2.197087789,221,201,235,21.40058648,2,279,7.708155197
280,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-255,1.153737283,221,203,232,11.43013017,2,280,5.074198481
281,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-256,1.773123739,221,204,234,16.50177816,2,281,6.481673683
282,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-258,0.70993278,220,205,231,7.338769953,2,282,3.776436467
283,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-259,1.813123584,221,209,234,17.35708424,2,283,6.703750579
284,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-260,0.824255151,221,212,231,7.386686427,2,284,3.792856765
285,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-261,0.922985404,221,212,231,7.788313748,2,285,3.929123011
286,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-263,1.928687196,220,206,232,17.3525066,2,286,6.70257186
287,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-264,1.095477257,221,207,233,10.81284854,2,287,4.889826086
288,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-265,0.956842139,222,208,229,7.493046184,2,288,3.829178452
290,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-267,1.925787043,220,209,233,17.71585502,2,290,6.79581287
291,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-268,2.318450594,220,206,234,22.71447018,2,291,8.020505498
292,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-269,1.625119964,221,206,233,15.01810255,2,292,6.087094496
293,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-270,0.878657667,220,204,230,7.986518269,2,293,3.995504827
294,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-271,1.726571437,221,208,232,16.28158902,2,294,6.423886496
295,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-272,1.777241284,221,203,233,16.56409987,2,295,6.49798284
296,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-273,1.828889066,220,207,233,17.23726002,2,296,6.672862183
297,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-274,1.444322132,221,209,234,12.35714317,2,297,5.3449714
298,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-275,0.946132529,221,209,232,8.694942272,2,298,4.22841692
299,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-277,1.163051297,220,207,232,10.17359992,2,299,4.695153226
300,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-282,1.373133274,221,210,232,12.33409199,2,300,5.338322277
302,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-284,1.470253838,220,208,232,13.27191647,2,302,5.605604156
303,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-285,1.863709696,221,203,234,17.38676858,2,303,6.711391638
304,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-287,1.466074105,221,209,232,13.85759195,2,304,5.769327324
305,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-289,1.294829503,221,209,232,11.53196882,2,305,5.104293512
306,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-290,1.307715492,221,208,232,12.65445016,2,306,5.430362893
307,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-291,0.604310086,220,211,232,5.649641912,2,307,3.172103005
308,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-293,1.517944017,221,209,235,14.58037534,2,308,5.968233456
309,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-294,1.432120497,221,208,231,11.51225833,2,309,5.098475666
310,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-295,1.023636076,221,208,235,9.881130205,2,310,4.604732592
311,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-296,1.827184734,221,206,234,15.00851299,2,311,6.084503009
312,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-297,0.867934667,220,208,234,9.312417096,2,312,4.426307821
314,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-299,1.649169737,220,208,232,14.62007174,2,314,5.979061252
315,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-300,1.777578235,220,207,231,15.22027497,2,315,6.141601952
316,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-301,1.30966773,222,206,231,11.33358559,2,316,5.045585298
317,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-305,1.516035839,220,206,233,14.2266238,2,317,5.871303965
318,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-306,0.859426915,220,212,231,7.016909534,2,318,3.665196402
319,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-307,1.588624449,220,208,231,14.9725671,2,319,6.07478407
320,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-310,0.597306494,222,212,232,5.350681412,2,320,3.059187261
322,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-312,0.813492092,221,212,231,6.799993563,2,322,3.589266188
323,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-313,0.836024221,220,208,232,7.285387548,2,323,3.758100928
324,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-314,1.449413213,221,208,233,13.39450274,2,324,5.640068738
325,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-315,1.584808916,221,208,233,14.23857391,2,325,5.874591366
326,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-317,1.938988567,221,208,234,18.9900425,2,326,7.117879386
327,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-318,1.010495439,221,208,234,9.396859319,2,327,4.453025171
328,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-319,1.470174221,220,204,232,14.05516838,2,328,5.824035791
329,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-320,1.331863012,220,206,232,13.1749848,2,329,5.578277073
330,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-321,1.697269591,220,206,232,15.95282122,2,330,6.337116126
332,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-324,1.623923768,221,208,234,15.72919027,2,332,6.277753285
333,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-326,1.770026554,220,207,232,15.37731403,2,333,6.183774664
334,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-327,1.258689731,221,206,233,11.9053001,2,334,5.213870397
335,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-328,1.061181208,220,209,232,10.60085494,2,335,4.825703055
336,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-330,1.284654719,221,209,232,11.44837565,2,336,5.079596877
337,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-332,0.597515477,221,209,229,4.399730943,2,337,2.685039913
338,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-333,1.418477685,220,209,233,12.36988392,2,338,5.348644698
339,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-334,2.340077634,221,202,234,20.54208908,2,339,7.500606907
341,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-336,1.313148157,220,206,232,12.41481765,2,341,5.361589542
342,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-337,1.835855653,221,208,233,17.07601982,2,342,6.631184326
343,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-338,1.40819814,221,203,235,14.2627145,2,343,5.881229487
344,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-339,1.732963598,221,209,235,16.2818215,2,344,6.423947646
345,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-340,0.91707154,220,209,229,7.617729499,2,345,3.871539531
346,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-341,0.820052526,221,209,231,7.688961605,2,346,3.895636816
347,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-343,0.591495229,221,209,231,5.837367503,2,347,3.241987659
348,DSM18266-2,DSM18266,2,TRUE,DSM18266-1s-349,0.704218237,220,210,232,5.785785234,2,348,3.222860734
